symbol,symbol_type,exchange_name,description
E,stock,NYSE,
EGHT,stock,NYSE,
AFRM,stock,NASDAQ,
AIG,stock,NYSE,
APT,stock,NYSE,
AMC,stock,NYSE,
AMCR,stock,NYSE,
SWBI,stock,NASDAQ,
AMT,stock,NYSE,
AGL,stock,NYSE,
APP,stock,NASDAQ,
CAR,stock,NASDAQ,
BRK.B,stock,NYSE,
BYND,stock,NASDAQ,
BIIB,stock,NASDAQ,
BNTX,stock,NASDAQ,
BTBT,stock,NASDAQ,
BKNG,stock,NASDAQ,
BXP,stock,NYSE,
BOX,stock,NYSE,
BG,stock,NYSE,
CPRX,stock,NASDAQ,
CRNT,stock,NASDAQ,
CMG,stock,NYSE,
CTXS,stock,NYSE,
CLX,stock,NYSE,
CPNG,stock,NYSE,
CVAC,stock,NASDAQ,
DDOG,stock,NASDAQ,
DE,stock,NYSE,
DIDI,stock,NYSE,
DOCU,stock,NASDAQ,
DPZ,stock,NASDAQ,
DASH,stock,NASDAQ,
KODK,stock,NYSE,
EBON,stock,NASDAQ,
EIX,stock,NYSE,
EA,stock,NASDAQ,
EOSE,stock,NASDAQ,
FTCH,stock,NYSE,
FSLY,stock,NYSE,
FCEL,stock,NASDAQ,
FLGT,stock,NASDAQ,
GME,stock,NYSE,
HDB,stock,NYSE,
HPE,stock,NYSE,
HYLN,stock,NYSE,
IBIO,stock,NYSE,
IDEX,stock,NASDAQ,
ING,stock,NYSE,
INO,stock,NASDAQ,
JD,stock,NASDAQ,
KCGI,stock,NYSE,
KMB,stock,NYSE,
KOSS,stock,NASDAQ,
LMND,stock,NYSE,
M,stock,NYSE,
MRO,stock,NYSE,
MOS,stock,NYSE,
MP,stock,NYSE,
NNOX,stock,NASDAQ,
NKLA,stock,NASDAQ,
OTLY,stock,NASDAQ,
OSCR,stock,NYSE,
PLTR,stock,NASDAQ,
PTON,stock,NASDAQ,
PENN,stock,NASDAQ,
PLTK,stock,NASDAQ,
QCOM,stock,NASDAQ,
REGN,stock,NASDAQ,
RIOT,stock,NASDAQ,
RBLX,stock,NYSE,
ROKU,stock,NASDAQ,
CRM,stock,NYSE,
S,stock,NYSE,
SMAR,stock,NYSE,
SOS,stock,NYSE,
SQSP,stock,NYSE,
TTD,stock,NASDAQ,
